company,category,portal_type,url,total,angular,status,verdict,titles
Airbus,main,workday,https://ag.wd3.myworkdayjobs.com/en-US/Airbus?q=Engineer,0,0,api_303,NO_ANGULAR,[]
Diamondback Energy,main,workday,https://diamondbackenergy.wd12.myworkdayjobs.com/DBE?q=Engineer,40,0,ok,NO_ANGULAR,[]
SEW-EURODRIVE,main,workday,https://seweurodrive.wd5.myworkdayjobs.com/en-US/SEW?q=Engineer,0,0,api_303,NO_ANGULAR,[]
AVEVA,main,workday,https://aveva.wd3.myworkdayjobs.com/en-US/RIB_Careers?q=Engineer,0,0,api_303,NO_ANGULAR,[]
SimCorp,main,workday,https://simcorp.wd3.myworkdayjobs.com/en-US/SimCorp_Jobs?q=Engineer,0,0,api_303,NO_ANGULAR,[]
Nextracker,main,workday,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers?q=Engineer,0,0,api_303,NO_ANGULAR,[]
Thoughtworks,main,generic,https://www.thoughtworks.com/careers/jobs/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Deloitte,main,generic,https://southasiacareers.deloitte.com/search/?q=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
PwC,main,generic,https://jobs.pwc.com/global/en/search-results?keywords=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Publicis Sapient,main,generic,https://careers.publicissapient.com/job-search,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
JPMorgan Chase,main,oracle,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1002/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Goldman Sachs,main,generic,https://www.goldmansachs.com/careers/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Visa,main,workday,https://visa.wd5.myworkdayjobs.com/en-US/Visa/,0,0,api_303,NO_ANGULAR,[]
S&P Global,main,generic,https://careers.spglobal.com/jobs/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
We Work Remotely,main,generic,https://weworkremotely.com/remote-front-end-programming-jobs,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Remote OK,main,generic,https://remoteok.com/remote-angular-jobs,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Wellfound,main,generic,https://wellfound.com/jobs,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Uplers,main,generic,https://www.uplers.com/join-as-a-talent/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Turing,main,generic,https://www.turing.com/jobs,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Toptal,main,generic,https://www.toptal.com/careers,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Andela,main,generic,https://andela.com/talent/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
BairesDev,main,generic,https://jobs.bairesdev.com/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Optimum,main,generic,https://www.optimum.io/careers/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Siemens,main,generic,https://jobs.siemens.com/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
UnitedHealth,main,generic,https://careers.unitedhealthgroup.com/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Degreed,main,greenhouse,https://boards.greenhouse.io/degreed,6,1,ok,CONFIRMED_ANGULAR,"[""Staff UI Engineer | Bengaluru, IN""]"
Ivanti,main,generic,https://careers.ivanti.com/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Dell Technologies,main,generic,https://jobs.dell.com/en,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Rakuten Symphony,main,generic,https://symphony.rakuten.com/careers,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Cisco,main,generic,https://careers.cisco.com/,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Exadel,main,greenhouse,https://job-boards.greenhouse.io/exadelinc,70,1,ok,CONFIRMED_ANGULAR,"[""Senior Software Engineer (Python, AI)""]"
Capco,main,greenhouse,https://boards.greenhouse.io/capco,757,30,ok,CONFIRMED_ANGULAR,"[""AI Engineer"", ""AI Engineer - COM INGL\u00caS - Remoto"", ""AI  Engineer  Lead"", ""Desenvolvedor(a) de Software / Engenharia de Qualidade - COM INGL\u00caS - H\u00edbrido Barueri/SP"", ""D\u00e9veloppeur Full Stack (Java/Angular)/Java Full Stack Developer""]"
Nagarro,main,generic,https://www.builtin.com/companies/nagarro,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
EPAM Systems,main,generic,https://careers.epam.com/en/it-jobs/angular/india,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
TRG Screen,main,greenhouse,https://job-boards.eu.greenhouse.io/trgscreen,26,3,ok,CONFIRMED_ANGULAR,"[""Lead Developer (Full Stack)"", ""Senior Software Engineer- Full Stack (Java + Angular) - 2"", ""Senior Software Engineer (Java)""]"
Backbase,main,greenhouse,https://job-boards.greenhouse.io/workatbackbase,43,1,ok,CONFIRMED_ANGULAR,"[""Senior AI Applied Software Engineer""]"
